N(%),C(%),H(%),O(%),H/C,O/C,(O+N)/C,Fe,Pyrolysis temperature,Ball milling(h),Particle size(nm),Pore volume(cm3/g),SSA(m2/g),Addition(mg),Adsorption temperature(ÀÌ),pH,C0(mg/L),Volume(mL),Adsorption time(min),C-C284.8,HO-C=O289,C-O285,Fe(Â·),Fe(Âµ),Adsorption capacity(mg/g)
1.338 ,73.489 ,3.577 ,13.969 ,0.584 ,0.253 ,0.275 ,0.00 ,600 ,3 ,349 ,0.1727 ,279.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,240 ,95.682678,16.6967008,34.5986212,0 ,0 ,1.910 
1.338 ,73.489 ,3.577 ,13.969 ,0.584 ,0.253 ,0.275 ,0.00 ,600 ,3 ,349 ,0.1727 ,279.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,420 ,95.682678,16.6967008,34.5986212,0 ,0 ,2.160 
1.338 ,73.489 ,3.577 ,13.969 ,0.584 ,0.253 ,0.275 ,0.00 ,600 ,3 ,349 ,0.1727 ,279.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1110 ,95.682678,16.6967008,34.5986212,0 ,0 ,1.970 
1.338 ,73.489 ,3.577 ,13.969 ,0.584 ,0.253 ,0.275 ,0.00 ,600 ,3 ,349 ,0.1727 ,279.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1440 ,95.682678,16.6967008,34.5986212,0 ,0 ,1.650 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,30.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,14.72 ,3.54 ,3.47 ,0 ,0 ,1.470 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,30.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,14.72 ,3.54 ,3.47 ,0 ,0 ,2.430 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,30.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,14.72 ,3.54 ,3.47 ,0 ,0 ,3.000 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,20.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,9.81167992,2.3616418,2.31527828,0 ,0 ,2.055 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,20.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,9.81167992,2.3616418,2.31527828,0 ,0 ,3.060 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,20.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,9.81167992,2.3616418,2.31527828,0 ,0 ,2.880 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,10.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,4.90583996,1.1808209,1.15763914,0 ,0 ,2.310 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,10.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,4.90583996,1.1808209,1.15763914,0 ,0 ,4.890 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,10.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,4.90583996,1.1808209,1.15763914,0 ,0 ,2.700 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,10 ,98.1167992,23.616418,23.1527828,0 ,0 ,3.250 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,30 ,98.1167992,23.616418,23.1527828,0 ,0 ,2.960 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,60 ,98.1167992,23.616418,23.1527828,0 ,0 ,2.360 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,120 ,98.1167992,23.616418,23.1527828,0 ,0 ,2.040 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,240 ,98.1167992,23.616418,23.1527828,0 ,0 ,2.260 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,420 ,98.1167992,23.616418,23.1527828,0 ,0 ,2.100 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1110 ,98.1167992,23.616418,23.1527828,0 ,0 ,1.880 
1.408 ,72.443 ,3.529 ,17.448 ,0.585 ,0.321 ,0.344 ,0.00 ,600 ,6 ,434 ,0.1204 ,294.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1440 ,98.1167992,23.616418,23.1527828,0 ,0 ,3.660 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,30.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,11.96 ,1.52 ,8.27 ,0 ,0 ,1.370 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,30.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,11.96 ,1.52 ,8.27 ,0 ,0 ,2.940 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,30.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,11.96 ,1.52 ,8.27 ,0 ,0 ,3.320 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,20.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,7.97012072,1.01619764,5.51008164,0 ,0 ,1.965 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,20.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,7.97012072,1.01619764,5.51008164,0 ,0 ,3.300 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,20.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,7.97012072,1.01619764,5.51008164,0 ,0 ,3.450 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,10.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,3.98506036,0.50809882,2.75504082,0 ,0 ,3.540 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,10.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,3.98506036,0.50809882,2.75504082,0 ,0 ,4.590 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,10.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,3.98506036,0.50809882,2.75504082,0 ,0 ,3.840 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,10 ,79.7012072,10.1619764,55.1008164,0 ,0 ,3.340 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,30 ,79.7012072,10.1619764,55.1008164,0 ,0 ,3.820 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,60 ,79.7012072,10.1619764,55.1008164,0 ,0 ,3.090 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,120 ,79.7012072,10.1619764,55.1008164,0 ,0 ,2.550 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,240 ,79.7012072,10.1619764,55.1008164,0 ,0 ,2.640 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,420 ,79.7012072,10.1619764,55.1008164,0 ,0 ,2.320 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1110 ,79.7012072,10.1619764,55.1008164,0 ,0 ,2.290 
1.279 ,72.482 ,3.469 ,17.413 ,0.574 ,0.320 ,0.341 ,0.00 ,600 ,9 ,380 ,0.1015 ,264.00 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1440 ,79.7012072,10.1619764,55.1008164,0 ,0 ,2.320 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,30.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,14.76 ,0.94 ,7.11 ,0 ,0 ,1.470 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,30.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,14.76 ,0.94 ,7.11 ,0 ,0 ,2.780 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,30.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,14.76 ,0.94 ,7.11 ,0 ,0 ,2.500 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,20.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,9.84277926,0.62971884,4.7381019,0 ,0 ,1.635 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,20.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,9.84277926,0.62971884,4.7381019,0 ,0 ,2.580 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,20.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,9.84277926,0.62971884,4.7381019,0 ,0 ,3.180 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,10.0 ,35.0 ,4.03 ,10.220 ,30.0 ,1440 ,4.92138963,0.31485942,2.36905095,0 ,0 ,2.490 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,10.0 ,35.0 ,3.57 ,20.140 ,30.0 ,1440 ,4.92138963,0.31485942,2.36905095,0 ,0 ,3.360 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,10.0 ,35.0 ,3.44 ,29.440 ,30.0 ,1440 ,4.92138963,0.31485942,2.36905095,0 ,0 ,2.520 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,10 ,98.4277926,6.2971884,47.381019,0 ,0 ,2.840 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,30 ,98.4277926,6.2971884,47.381019,0 ,0 ,3.260 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,60 ,98.4277926,6.2971884,47.381019,0 ,0 ,2.650 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,120 ,98.4277926,6.2971884,47.381019,0 ,0 ,1.920 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,240 ,98.4277926,6.2971884,47.381019,0 ,0 ,2.170 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,420 ,98.4277926,6.2971884,47.381019,0 ,0 ,1.950 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1110 ,98.4277926,6.2971884,47.381019,0 ,0 ,1.850 
1.251 ,76.053 ,2.893 ,11.655 ,0.456 ,0.204 ,0.224 ,0.00 ,700 ,3 ,462 ,0.1624 ,213.73 ,200.0 ,25 ,3.54 ,19.280 ,200.0 ,1440 ,98.4277926,6.2971884,47.381019,0 ,0 ,1.690 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,30.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,10.32 ,0.80 ,8.33 ,0 ,0 ,9.100 
1.276 ,64.099 ,3.896 ,25.729 ,0.729 ,0.535 ,0.558 ,0.00 ,300 ,6 ,1442 ,0.0227 ,8.64 ,30.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,12.24 ,2.46 ,4.53 ,0 ,0 ,9.260 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,10.0 ,35 ,3.69 ,10.030 ,30 ,1440 ,3.44 ,0.27 ,2.78 ,0 ,0 ,9.300 
1.276 ,64.099 ,3.896 ,25.729 ,0.729 ,0.535 ,0.558 ,0.00 ,300 ,6 ,1442 ,0.0227 ,8.64 ,10.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,4.08 ,0.82 ,1.51 ,0 ,0 ,9.480 
1.276 ,64.099 ,3.896 ,25.729 ,0.729 ,0.535 ,0.558 ,0.00 ,300 ,6 ,1442 ,0.0227 ,8.64 ,20.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,8.16 ,1.64 ,3.02 ,0 ,0 ,9.680 
1.159 ,63.947 ,3.833 ,25.844 ,0.719 ,0.539 ,0.560 ,0.00 ,300 ,9 ,1144 ,0.0210 ,8.71 ,20.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,6.42 ,0.57 ,5.80 ,0 ,0 ,9.720 
1.141 ,67.930 ,3.732 ,22.175 ,0.659 ,0.435 ,0.455 ,0.00 ,400 ,6 ,930 ,0.0308 ,8.39 ,10.0 ,35 ,3.69 ,10.030 ,30 ,1440 ,4.31 ,0.26 ,0.22 ,0 ,0 ,9.780 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,20.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,6.88 ,0.53 ,5.55 ,0 ,0 ,10.110 
1.159 ,63.947 ,3.833 ,25.844 ,0.719 ,0.539 ,0.560 ,0.00 ,300 ,9 ,1144 ,0.0210 ,8.71 ,10.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,3.21 ,0.29 ,5.80 ,0 ,0 ,10.830 
1.542 ,64.849 ,4.450 ,23.176 ,0.823 ,0.477 ,0.504 ,0.00 ,300 ,3 ,1527 ,0.0158 ,3.69 ,10.0 ,35 ,3.22 ,19.920 ,30 ,1440 ,3.44 ,0.27 ,2.78 ,0 ,0 ,10.830 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,20.0 ,25 ,5.00 ,19.900 ,20 ,1440 ,8.16 ,0.91 ,5.83 ,0 ,0 ,6.697478559
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,8.16 ,0.91 ,5.83 ,0 ,0 ,7.066532947
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,8.16 ,0.91 ,5.83 ,0 ,0 ,6.893161939
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,,0.1013 ,35.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,5.63 ,0.81 ,2.85 ,1.01 ,0.74 ,10.68090205
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,,0.1013 ,35.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,5.63 ,0.81 ,2.85 ,1.01 ,0.74 ,10.65606998
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,,0.1013 ,35.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,5.63 ,0.81 ,2.85 ,1.01 ,0.74 ,10.74937
0.340 ,40.120 ,2.980 ,20.730 ,0.891 ,0.689 ,0.699 ,21.34 ,400 ,3 ,,0.0062 ,1.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,6.23 ,1.18 ,0.61 ,2.16 ,2.10 ,12.63773837
0.340 ,40.120 ,2.980 ,20.730 ,0.891 ,0.689 ,0.699 ,21.34 ,400 ,3 ,,0.0062 ,1.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,6.23 ,1.18 ,0.61 ,2.16 ,2.10 ,12.63560883
0.340 ,40.120 ,2.980 ,20.730 ,0.891 ,0.689 ,0.699 ,21.34 ,400 ,3 ,,0.0062 ,1.53 ,20.0 ,25 ,5.00 ,14.900 ,20 ,1440 ,6.23 ,1.18 ,0.61 ,2.16 ,2.10 ,12.66509453
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,5 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,3.760 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,10 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,4.670 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,15 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,5.080 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,20 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,5.240 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,30 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,5.380 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,60 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,5.900 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,150 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,6.580 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,240 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,6.810 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,360 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,7.060 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,720 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,7.230 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,1080 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,7.040 
1.634,74.514,4.298,11.372,0.692 ,0.203 ,0.229 ,0.00 ,400 ,0 ,5681 ,0.0013 ,2.75 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,1440 ,81.60 ,9.10 ,58.30 ,0.00 ,0.00 ,7.290 
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,934 ,0.1013 ,35.53 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,5 ,56.30 ,8.10 ,28.50 ,10.13 ,7.40 ,8.780 
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,934 ,0.1013 ,35.53 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,10 ,56.30 ,8.10 ,28.50 ,10.13 ,7.40 ,10.450 
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,934 ,0.1013 ,35.53 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,15 ,56.30 ,8.10 ,28.50 ,10.13 ,7.40 ,10.750 
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,934 ,0.1013 ,35.53 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,20 ,56.30 ,8.10 ,28.50 ,10.13 ,7.40 ,11.260 
0.370 ,46.480 ,3.410 ,26.560 ,0.880 ,0.762 ,0.771 ,8.75 ,400 ,0 ,934 ,0.1013 ,35.53 ,200.0 ,25 ,5.00 ,18.119 ,200.0 ,30 ,56.30 ,8.10 ,28.50 ,10.13 ,7.40 ,11.750 
